Area_sqft,Bedrooms,Bathrooms,Age_years,Location,Price
1389.0,1,1,40,Uptown,191000.0
2402.0,3,2,13,Suburb,326100.0
1575.0,2,1,34,Suburb,186700.0
1509.0,4,3,26,Suburb,207700.0
1757.0,2,2,10,Rural,190000.0
1266.0,1,1,34,Downtown,164900.0
2082.0,3,3,1,Downtown,329500.0
3136.0,3,3,21,Uptown,438800.0
400.0,2,2,39,Suburb,50000.0
2040.0,1,1,10,Suburb,238300.0
400.0,2,2,38,Downtown,81200.0
2069.0,2,2,21,Suburb,262000.0
437.0,2,2,4,Downtown,129100.0
1355.0,3,3,36,Suburb,197700.0
1909.0,2,1,34,Downtown,259800.0
916.0,2,1,23,Suburb,139900.0
1880.0,4,3,16,Uptown,287300.0
2219.0,3,3,43,Rural,192800.0
2312.0,2,2,4,Downtown,333800.0
942.0,4,4,41,Downtown,159900.0
2301.0,3,3,37,Uptown,314900.0
1456.0,3,3,13,Suburb,202700.0
2145.0,1,1,40,Downtown,297600.0
2519.0,3,3,17,Uptown,340700.0
1444.0,3,3,11,Downtown,248000.0
2097.0,3,3,11,Rural,198500.0
