fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
8.14,0.496,0.183,1.93,0.103,12.2,83.8,0.99701,2.92,0.835,10.36,6
9.27,0.347,0.372,0.5,0.037,25.9,92.8,0.99952,3.33,0.605,8.93,5
8.79,0.347,0.314,0.5,0.088,32.9,60.9,0.99538,3.45,0.564,8.84,4
8.46,0.504,0.265,1.96,0.097,36.8,104.8,0.99711,3.4,0.531,9.67,5
4.64,0.606,0.344,0.92,0.097,36.7,65.4,0.99642,3.33,0.595,13.01,7
6.15,0.226,0.318,0.99,0.066,28.0,67.2,0.99549,2.96,0.562,12.0,7
5.18,0.575,0.276,1.83,0.117,48.7,118.2,0.996,3.36,0.705,11.02,6
8.35,0.374,0.373,2.2,0.07,26.3,111.8,0.99971,3.38,0.642,9.3,5
8.01,0.487,0.271,1.41,0.092,14.3,103.2,0.99525,3.39,0.512,11.24,5
7.02,0.403,0.24,5.66,0.081,29.2,75.2,0.9984,3.37,0.73,10.8,6
6.35,0.419,0.232,0.5,0.109,31.0,138.4,0.99738,3.27,0.588,9.57,5
7.54,0.514,0.201,9.55,0.069,28.0,114.0,0.99523,3.28,0.764,10.33,5
8.19,0.562,0.47,0.93,0.13,22.3,91.7,0.99496,3.26,0.713,10.88,6
8.32,0.573,0.067,5.47,0.073,20.5,96.5,1.00044,3.22,0.779,10.45,6
7.21,0.237,0.111,0.8,0.073,23.7,131.5,0.99493,3.45,0.667,12.26,7
7.97,0.377,0.231,3.12,0.034,8.4,137.1,1.00028,3.59,0.59,10.53,5
7.06,0.548,0.689,0.5,0.024,29.6,88.7,0.99803,3.28,0.359,11.14,5
7.61,0.705,0.325,1.78,0.134,29.7,90.6,0.9961,3.2,0.679,9.98,4
7.34,0.472,0.206,0.84,0.045,59.9,164.0,0.99656,3.13,0.656,9.15,4
6.74,0.314,0.419,4.57,0.106,55.6,114.4,0.99693,3.37,0.685,9.87,5
6.97,0.555,0.306,2.91,0.06,41.6,51.6,0.99946,3.45,0.469,11.1,6
8.04,0.507,0.324,0.5,0.1,50.9,153.7,0.99426,2.96,0.767,10.2,6
4.45,0.333,0.189,8.52,0.122,43.5,104.2,0.99506,3.24,0.74,11.23,6
8.92,0.359,0.215,0.96,0.106,26.4,114.9,0.99549,3.16,0.527,11.14,6
7.07,0.885,0.134,0.93,0.121,12.6,70.7,0.99527,3.18,0.833,10.6,5
8.68,0.289,0.243,2.64,0.052,31.2,77.5,0.99442,3.27,0.442,8.88,5
6.29,0.39,0.216,11.09,0.105,33.6,73.5,1.00164,3.24,0.605,10.03,5
5.57,0.347,0.353,6.9,0.067,1.0,76.8,0.99712,3.15,0.73,10.08,5
9.05,0.571,0.241,1.97,0.047,48.5,80.0,0.99537,3.66,0.643,10.54,5
8.13,0.591,0.574,0.5,0.103,27.3,88.3,0.9967,3.22,0.458,9.25,5
8.75,0.855,0.154,2.96,0.106,37.9,119.1,0.99593,3.38,0.722,11.06,6
5.39,0.677,0.427,2.34,0.157,46.1,92.3,0.9971,3.25,0.547,12.41,7
6.95,0.489,0.157,1.01,0.091,16.9,44.5,0.99903,3.39,0.713,10.96,6
7.99,0.473,0.348,7.25,0.03,27.9,61.8,0.99945,3.4,0.545,10.96,5
7.68,0.395,0.428,6.36,0.064,15.7,92.4,0.99625,2.9,0.764,8.2,4
6.63,0.47,0.0,0.54,0.111,27.2,117.5,0.99926,3.25,0.722,9.65,5
7.24,0.567,0.501,0.5,0.059,34.3,94.6,0.99942,3.17,0.558,10.39,5
6.96,0.363,0.055,3.54,0.054,40.6,76.5,0.99476,3.26,0.651,9.29,5
7.1,0.482,0.474,8.25,0.13,25.2,131.0,0.99443,3.26,0.734,11.35,5
5.83,0.478,0.184,1.28,0.102,36.6,92.2,0.99795,3.27,0.641,10.79,6
5.67,0.571,0.05,1.07,0.104,40.3,93.0,0.99512,3.34,0.643,11.15,6
7.74,0.158,0.064,1.01,0.072,7.2,58.3,0.99874,3.21,0.616,8.59,4
5.64,0.511,0.509,1.33,0.074,31.9,100.9,0.9948,3.18,0.639,9.0,4
7.87,0.613,0.445,3.14,0.096,56.3,94.7,0.99591,3.12,0.563,11.86,6
5.68,0.508,0.223,1.52,0.093,39.5,96.2,0.99884,3.53,0.963,8.85,5
9.17,0.416,0.141,0.5,0.114,28.9,77.2,0.99359,3.3,0.712,10.74,6
7.46,0.494,0.252,2.35,0.109,43.8,118.4,0.99681,3.48,0.895,10.31,5
8.49,0.1,0.223,2.83,0.15,26.5,86.4,0.99627,3.21,0.584,13.15,8
5.37,0.236,0.783,0.5,0.082,25.0,71.6,0.99393,3.26,0.596,9.16,5
9.14,0.825,0.49,1.94,0.09,17.8,112.8,0.99557,3.19,0.686,8.94,4
6.6,0.326,0.533,2.2,0.092,14.9,106.6,0.99649,3.33,0.618,10.69,5
5.25,0.763,0.35,0.5,0.068,21.5,90.1,0.99683,3.13,0.819,11.64,6
8.77,0.452,0.419,2.64,0.121,7.6,51.1,0.99759,3.31,0.785,11.93,7
6.05,0.567,0.367,1.79,0.065,34.4,73.2,0.99621,3.51,0.669,9.32,4
6.03,0.481,0.32,1.46,0.08,20.1,66.7,0.99595,3.28,0.689,11.31,6
6.8,0.536,0.275,3.13,0.01,35.0,119.0,0.99473,3.4,0.749,8.23,4
6.86,0.667,0.418,4.44,0.102,20.8,83.9,0.99778,3.28,0.637,12.26,7
7.68,0.258,0.219,3.01,0.105,23.7,54.0,0.99562,3.19,0.585,10.94,7
5.74,0.584,0.506,3.38,0.076,33.0,102.4,0.99809,3.33,0.533,8.0,4
8.9,0.538,0.196,2.01,0.104,25.4,97.6,0.99792,3.39,0.888,10.5,5
9.11,0.715,0.073,2.43,0.105,47.6,102.6,0.99841,3.18,0.635,9.36,5
6.26,0.455,0.159,0.59,0.095,57.0,133.0,0.99496,3.13,0.816,9.49,5
5.62,0.441,0.402,0.5,0.112,52.7,85.7,0.99442,3.12,0.666,12.05,7
7.74,0.276,0.332,1.17,0.022,18.5,102.2,0.99518,3.18,0.691,9.44,5
5.73,0.488,0.111,2.73,0.108,36.7,74.1,0.99859,3.33,0.476,9.11,4
8.35,0.579,0.112,0.5,0.084,36.2,51.6,0.99592,3.28,0.369,11.92,6
7.48,0.318,0.268,5.78,0.071,23.1,44.4,0.99633,3.16,0.804,11.5,6
8.23,0.235,0.201,0.5,0.025,19.4,76.8,0.99647,3.5,0.495,9.56,5
8.33,0.582,0.297,4.37,0.066,17.7,79.4,0.99586,2.96,0.682,9.21,5
7.17,0.353,0.209,0.5,0.024,52.3,118.9,0.99434,3.14,0.691,10.32,5
7.58,0.479,0.196,2.77,0.072,49.7,160.3,0.99295,3.23,0.368,11.9,6
5.2,0.491,0.15,4.13,0.082,31.8,66.4,0.99617,3.2,0.882,10.92,6
6.55,0.461,0.301,8.05,0.068,34.0,68.5,0.99415,3.24,0.525,11.26,6
6.53,0.554,0.223,1.41,0.055,19.1,63.7,0.99801,3.34,0.556,10.34,5
7.36,0.127,0.215,10.0,0.086,34.8,82.4,0.99531,3.44,0.824,9.71,5
6.92,0.627,0.484,2.82,0.091,52.0,88.1,0.99754,3.21,0.587,9.44,4
5.46,0.227,0.284,1.06,0.053,27.7,116.4,0.9968,3.3,0.815,10.05,6
5.68,0.612,0.531,3.02,0.105,29.0,103.4,0.99475,3.19,0.395,8.92,5
8.14,0.479,0.298,3.49,0.097,36.1,119.1,0.99826,3.04,0.424,9.93,5
7.96,0.27,0.136,2.8,0.085,48.7,108.1,0.99451,3.49,0.686,10.13,5
7.07,0.538,0.106,0.77,0.073,43.0,91.6,0.99491,3.3,0.356,8.97,4
6.45,0.39,0.431,0.5,0.083,20.8,108.2,0.99456,3.36,0.676,9.85,5
8.01,0.417,0.0,0.5,0.031,7.5,22.9,0.99543,3.26,0.452,10.17,5
5.95,0.401,0.369,0.5,0.127,31.6,85.0,0.99501,3.17,0.611,11.8,6
6.92,0.701,0.377,1.04,0.055,35.3,100.8,0.99551,3.22,0.941,12.57,7
7.16,0.526,0.541,3.89,0.035,1.0,67.2,0.99647,3.34,0.488,10.17,5
8.56,0.77,0.347,2.54,0.072,20.8,86.0,0.99182,3.37,0.765,10.38,5
9.61,0.476,0.161,4.59,0.117,54.8,103.4,0.99927,3.51,0.47,8.98,5
8.73,0.687,0.444,0.6,0.089,58.0,90.7,0.99877,3.52,0.965,11.61,6
8.27,0.495,0.348,0.5,0.125,22.1,63.6,0.99472,3.33,0.736,12.74,7
6.01,0.444,0.005,2.25,0.048,39.9,123.1,0.99715,3.22,0.665,9.51,5
8.58,0.447,0.052,2.77,0.097,43.7,115.7,0.99421,3.25,0.851,10.56,5
5.53,0.585,0.464,3.31,0.101,17.5,73.5,1.0006,3.27,0.559,10.67,5
8.81,0.509,0.407,13.31,0.094,1.0,76.2,0.99878,3.32,0.858,11.92,7
7.38,0.431,0.144,3.65,0.116,34.5,140.0,0.99505,3.39,0.774,10.5,5
7.58,0.253,0.31,0.5,0.046,13.0,76.5,0.99767,3.37,0.763,10.97,7
5.91,0.567,0.322,2.67,0.123,47.7,112.5,0.9984,3.45,0.381,12.17,6
8.32,0.768,0.317,7.76,0.091,11.2,40.3,0.99648,3.2,0.519,10.42,5
7.13,0.289,0.478,2.71,0.1,22.6,106.5,0.99722,3.12,0.649,10.56,5
7.71,0.409,0.422,0.5,0.048,56.1,87.1,0.99794,3.36,0.79,11.1,6
7.44,0.301,0.073,0.8,0.025,35.4,108.9,0.99767,3.37,0.595,11.49,6
7.36,0.622,0.532,0.56,0.085,38.1,77.7,0.99275,3.31,0.677,11.92,6
7.12,0.518,0.175,0.5,0.044,29.0,109.9,0.99454,3.38,0.781,10.64,5
6.78,1.013,0.392,0.5,0.072,30.7,107.9,0.99445,3.12,0.796,13.55,7
6.68,0.448,0.266,1.23,0.033,35.7,96.6,0.99506,3.01,0.78,11.35,6
6.76,0.476,0.509,4.19,0.082,26.4,95.6,0.99553,3.34,0.772,11.06,6
7.12,0.531,0.243,0.53,0.153,27.1,57.5,0.99547,3.23,0.652,12.32,6
6.92,0.693,0.426,3.96,0.083,45.8,132.4,0.99711,3.45,0.538,13.02,6
7.26,0.557,0.444,5.41,0.096,28.1,106.0,0.9941,3.42,0.633,8.68,4
6.63,0.356,0.215,1.68,0.04,18.1,64.1,0.99529,3.28,0.721,12.14,7
6.43,0.705,0.558,1.11,0.079,7.0,41.7,0.99738,3.3,0.767,11.31,6
7.88,0.757,0.143,0.5,0.093,15.2,82.6,0.99691,3.27,0.891,8.87,4
8.0,1.109,0.122,1.26,0.045,22.2,40.1,0.9963,3.26,0.904,10.98,5
6.48,0.807,0.201,0.5,0.067,15.4,56.3,0.99735,3.41,0.691,9.57,4
6.65,0.587,0.273,2.34,0.106,29.8,42.1,0.99743,3.33,0.535,10.72,5
8.51,0.359,0.386,1.53,0.053,37.2,59.0,0.99612,3.28,0.399,10.55,6
7.43,0.581,0.147,7.26,0.079,10.2,80.8,0.9957,3.29,0.484,9.01,4
7.74,0.701,0.391,0.5,0.027,19.2,68.8,0.99529,3.31,0.8,11.08,5
7.93,0.359,0.388,0.5,0.096,9.2,88.6,0.99818,3.34,0.613,9.05,5
6.39,0.379,0.512,0.5,0.1,20.4,64.1,0.99571,3.45,0.956,13.3,8
7.84,0.548,0.204,0.5,0.056,16.2,96.9,0.99939,3.21,0.755,8.68,5
5.62,0.34,0.421,2.93,0.113,8.6,18.6,0.99872,3.25,0.697,10.79,5
7.99,0.507,0.343,4.56,0.108,28.1,71.9,0.99808,3.21,0.426,9.8,5
7.6,0.826,0.181,0.8,0.111,56.9,112.1,0.99721,3.36,0.622,9.68,4
7.62,0.659,0.492,1.04,0.059,26.4,114.8,0.99169,3.36,0.671,11.21,6
6.61,0.539,0.41,1.89,0.09,31.8,122.8,0.9986,3.27,0.857,9.76,5
7.19,0.636,0.272,2.66,0.085,1.0,51.8,0.99733,3.04,0.819,10.46,6
8.46,0.685,0.501,1.15,0.062,42.5,91.2,0.99576,3.48,0.592,10.97,5
5.98,0.162,0.204,1.47,0.029,42.2,92.7,0.99417,3.24,0.584,9.47,4
5.12,0.424,0.0,3.06,0.025,18.6,121.4,0.99695,3.5,0.487,10.0,4
7.18,0.563,0.234,0.5,0.081,29.9,125.7,0.99412,3.44,0.56,10.81,5
5.84,0.376,0.375,1.41,0.073,15.8,77.3,0.99799,3.17,0.684,10.92,5
8.69,0.423,0.329,5.56,0.053,32.7,90.4,0.99707,3.41,0.531,9.9,5
7.73,0.662,0.288,3.28,0.076,18.2,64.1,0.99259,2.9,0.643,9.62,6
7.6,0.232,0.467,0.5,0.081,33.5,102.2,0.99587,3.45,0.604,10.24,6
6.97,0.358,0.463,3.06,0.01,17.8,84.0,0.99593,3.24,0.49,9.77,5
6.44,0.634,0.264,1.37,0.052,51.8,135.6,0.99405,3.01,0.901,11.77,6
8.26,0.414,0.208,4.76,0.069,13.6,107.8,0.99761,3.3,0.713,9.04,5
7.67,0.593,0.409,3.02,0.055,24.7,95.7,0.99913,3.26,0.755,10.9,6
7.33,0.496,0.469,5.85,0.059,20.9,146.1,0.99644,3.49,0.716,11.95,7
8.2,0.41,0.27,0.98,0.055,46.3,133.4,0.99593,3.36,0.628,11.11,6
8.54,0.511,0.243,4.7,0.097,61.7,148.7,0.99218,3.22,0.719,8.0,3
6.34,0.735,0.287,0.5,0.068,10.7,59.3,0.99966,3.3,0.427,10.43,5
6.01,0.477,0.423,1.07,0.061,23.7,60.6,0.99877,3.44,0.372,11.09,6
6.47,0.71,0.276,1.17,0.092,2.6,68.6,0.99661,3.18,0.568,10.26,5
8.12,0.593,0.268,1.98,0.076,34.8,75.2,0.99613,3.55,0.749,11.52,6
7.05,0.757,0.477,1.27,0.054,31.8,75.2,0.99708,3.09,0.644,10.9,5
5.07,0.67,0.269,1.54,0.105,25.0,92.5,0.99742,3.34,0.614,12.33,6
8.08,0.508,0.62,1.11,0.083,30.7,40.7,0.99738,3.37,0.823,8.0,4
6.34,0.722,0.133,0.51,0.098,21.3,93.3,0.99923,3.17,0.431,9.59,4
8.09,0.464,0.401,1.02,0.079,17.3,74.8,0.99865,3.48,0.44,11.42,6
6.15,0.616,0.256,1.04,0.1,14.1,41.2,0.99614,3.36,0.77,11.53,7
7.97,0.353,0.509,1.9,0.104,33.7,61.3,0.99479,3.33,0.708,11.36,6
7.73,0.737,0.371,1.0,0.101,19.8,57.6,0.99654,3.39,0.652,10.45,5
7.06,0.728,0.42,3.67,0.075,8.7,18.7,0.99634,2.9,0.588,10.87,6
6.95,0.369,0.181,0.5,0.047,12.6,83.3,0.99491,3.29,0.891,12.24,7
7.98,0.572,0.196,2.22,0.13,4.2,78.3,0.99681,3.11,0.464,10.18,5
7.17,0.443,0.153,1.17,0.089,28.3,86.8,0.99445,3.24,0.54,10.46,6
8.58,0.568,0.197,2.39,0.081,28.5,56.2,0.99596,3.27,0.685,12.59,7
6.41,0.618,0.341,1.82,0.061,26.0,75.5,0.99838,3.38,0.656,9.03,5
7.91,0.395,0.346,5.4,0.116,28.1,58.7,0.99655,3.4,0.559,11.22,6
5.67,0.461,0.349,1.89,0.086,29.9,95.7,0.99516,3.22,0.598,10.81,6
7.67,0.255,0.497,0.5,0.155,19.7,129.4,0.99883,3.19,0.474,10.63,6
8.06,0.925,0.113,1.16,0.066,2.5,31.7,0.99569,3.24,0.909,10.41,5
7.7,0.559,0.296,7.02,0.063,11.9,69.2,0.99671,3.27,0.499,8.0,3
6.02,0.528,0.103,4.63,0.077,47.5,116.5,0.99421,3.58,0.91,9.18,4
6.02,0.537,0.188,5.45,0.104,32.8,109.4,0.996,3.16,0.56,11.42,6
7.17,0.325,0.47,0.8,0.082,58.2,149.0,0.99546,3.6,0.756,9.18,4
5.62,0.665,0.49,6.82,0.09,15.5,95.4,0.99688,3.31,0.392,11.77,6
6.73,0.628,0.437,1.73,0.089,40.0,89.2,0.99978,3.51,0.763,12.3,7
6.87,0.42,0.364,0.7,0.101,5.7,61.4,0.99626,3.1,0.875,9.46,5
6.44,0.1,0.293,7.61,0.04,46.3,113.8,0.99446,3.37,0.642,11.08,6
7.87,0.632,0.282,2.65,0.053,35.8,79.3,0.9988,3.39,0.94,11.12,6
7.89,0.327,0.388,0.5,0.146,43.3,129.7,0.99808,3.34,0.589,11.9,6
7.05,0.402,0.223,0.5,0.11,5.4,66.6,0.99429,3.18,0.57,10.93,6
6.73,0.406,0.477,0.91,0.083,30.2,83.7,0.99665,3.28,0.534,11.31,7
7.23,0.216,0.162,1.21,0.129,23.5,52.1,0.99301,3.0,0.74,11.1,6
7.97,0.505,0.244,2.99,0.105,29.2,74.0,0.99583,3.61,0.467,10.02,5
9.08,0.425,0.4,1.5,0.108,43.3,121.1,0.9976,3.12,0.805,10.09,5
5.41,0.311,0.456,1.28,0.113,31.9,90.7,0.99611,3.31,0.349,11.22,6
7.72,0.457,0.386,0.64,0.091,32.2,89.8,0.99691,3.34,0.871,8.24,4
8.59,0.753,0.273,1.17,0.061,36.9,103.7,0.99484,3.29,0.729,8.28,3
7.32,0.416,0.281,1.04,0.108,7.2,67.9,0.99328,3.15,0.73,11.55,6
7.41,0.749,0.418,0.5,0.049,5.0,61.3,0.99752,3.2,0.471,9.94,4
6.24,0.428,0.248,0.5,0.077,37.2,90.5,0.99515,3.17,0.736,11.31,6
7.68,0.934,0.2,0.5,0.053,24.1,78.6,0.99661,3.38,0.563,10.45,5
7.63,0.679,0.492,1.94,0.06,8.3,102.6,1.00131,3.45,0.772,9.84,5
6.34,0.625,0.226,7.0,0.045,34.0,59.4,0.99558,3.49,0.659,10.02,5
5.64,0.631,0.32,0.87,0.104,40.3,101.0,0.99546,3.24,0.611,9.91,5
8.01,0.338,0.266,9.71,0.127,30.7,161.8,0.99208,3.41,0.769,8.38,4
7.81,0.656,0.308,1.01,0.094,35.0,124.5,0.99281,3.25,0.909,11.23,6
6.17,0.39,0.329,1.09,0.074,1.0,63.4,0.99904,3.4,0.561,8.0,4
7.16,0.605,0.309,0.5,0.095,7.3,80.0,0.99608,3.1,0.779,9.09,4
6.13,0.613,0.209,0.5,0.097,47.0,98.0,0.99435,3.16,0.723,10.92,5
7.16,0.456,0.255,1.25,0.174,34.0,99.2,0.99363,3.11,0.847,10.85,5
8.09,0.446,0.325,2.78,0.081,15.4,91.6,0.99332,3.37,0.622,9.85,5
7.32,0.524,0.055,1.24,0.06,25.3,51.3,0.99912,3.13,0.82,9.89,5
7.86,0.356,0.447,1.32,0.087,41.3,119.1,0.99436,3.38,0.638,11.67,6
7.71,0.564,0.282,0.86,0.046,23.3,95.0,0.99862,3.33,0.816,10.34,5
6.04,0.25,0.0,4.1,0.081,39.7,104.5,0.99628,3.13,0.75,12.01,6
6.86,0.738,0.349,1.62,0.072,34.7,68.7,1.00093,3.03,0.486,11.27,6
6.55,0.564,0.428,1.07,0.055,45.5,174.2,0.99674,3.53,0.874,11.34,5
6.23,0.658,0.235,0.5,0.088,26.3,100.1,0.99677,3.12,0.853,9.17,4
6.63,0.258,0.264,2.71,0.023,51.9,108.8,0.99867,3.46,0.639,10.2,6
5.79,0.526,0.519,0.5,0.084,49.2,100.6,0.99785,3.25,0.51,9.95,5
5.13,0.641,0.157,2.96,0.156,37.1,110.4,0.99714,3.02,0.73,9.78,5
7.38,0.1,0.49,0.5,0.108,30.0,105.4,0.99697,3.51,0.652,9.36,5
7.98,0.321,0.455,6.62,0.119,39.9,146.2,0.99714,3.33,0.514,10.13,5
6.09,0.385,0.319,0.5,0.12,25.8,138.2,0.99636,3.13,0.44,10.47,5
7.03,0.266,0.537,2.32,0.083,23.5,114.8,0.99439,3.15,0.903,10.27,6
7.63,0.615,0.25,0.5,0.085,48.7,137.4,0.99847,3.22,0.385,10.76,5
7.02,0.372,0.373,2.13,0.117,50.8,106.3,0.99512,3.15,0.58,11.59,6
7.57,0.606,0.47,0.97,0.05,43.1,103.5,0.99855,3.15,0.809,10.58,5
7.59,0.664,0.612,1.52,0.118,45.2,107.6,0.99604,3.38,0.842,8.86,4
5.69,0.584,0.227,5.47,0.101,19.8,36.2,0.99717,3.37,0.62,10.35,5
7.87,0.894,0.41,0.5,0.11,15.4,71.6,0.99922,3.25,0.595,11.06,5
8.08,0.507,0.251,0.83,0.079,29.0,79.5,0.99847,3.29,0.648,9.37,5
6.15,0.527,0.319,5.83,0.107,25.8,73.3,0.99877,3.15,0.761,9.61,5
7.33,0.334,0.244,0.5,0.109,11.2,137.1,0.99808,3.3,0.674,10.26,5
8.1,0.857,0.383,1.34,0.1,18.0,49.4,0.99558,3.24,0.613,10.59,5
7.03,0.728,0.144,0.93,0.038,25.6,71.6,0.99312,3.39,0.822,11.36,6
7.92,0.627,0.22,8.83,0.1,27.9,94.3,0.99688,3.26,1.035,12.7,7
6.75,0.583,0.472,2.2,0.028,25.1,94.7,0.99704,2.83,0.326,10.59,5
7.1,0.672,0.373,4.58,0.093,9.5,91.5,0.99382,3.35,0.524,12.67,6
7.76,0.674,0.285,2.93,0.105,41.1,91.6,0.99623,3.29,0.466,11.06,5
8.83,0.797,0.359,0.5,0.088,28.1,121.2,0.99669,3.03,0.635,9.33,4
5.84,0.565,0.217,1.6,0.129,1.0,11.0,0.99825,3.36,0.396,10.45,5
6.36,0.493,0.476,4.06,0.017,32.9,109.6,0.99538,3.49,0.317,8.93,5
8.57,0.355,0.143,1.46,0.119,1.1,56.1,0.99996,3.27,0.701,10.38,5
6.3,0.983,0.324,3.16,0.131,16.3,61.1,0.99672,3.36,0.832,10.07,5
9.39,0.382,0.393,0.5,0.12,12.6,67.3,0.99726,3.28,0.778,10.15,5
6.92,0.535,0.111,0.5,0.073,29.4,80.7,0.99473,3.36,0.581,11.06,6
6.81,0.44,0.223,1.21,0.12,60.2,150.3,0.99826,3.1,0.723,10.24,5
7.16,0.115,0.337,0.5,0.097,14.5,85.3,0.99646,3.48,0.482,8.87,4
7.47,0.335,0.317,3.8,0.115,14.1,67.8,0.99687,3.62,0.604,10.59,6
8.86,0.766,0.27,1.97,0.102,50.4,95.9,0.99633,3.16,0.479,9.96,5
5.51,0.854,0.039,4.31,0.09,17.3,67.9,0.99639,3.13,0.74,9.81,5
6.12,0.546,0.264,0.5,0.069,21.5,96.0,0.99852,3.53,0.489,10.42,6
7.63,0.499,0.448,0.55,0.044,24.8,122.5,0.99569,3.36,0.656,8.72,5
6.47,0.522,0.491,4.19,0.121,1.0,87.9,0.99746,3.32,0.632,10.28,5
6.95,0.666,0.173,2.02,0.06,10.1,56.7,0.99883,3.18,0.451,9.32,4
8.26,0.431,0.407,1.86,0.083,22.7,53.8,0.99845,3.45,0.499,11.6,6
5.85,0.554,0.278,1.21,0.112,41.4,122.4,0.99684,2.94,0.477,8.52,5
8.52,0.524,0.37,3.06,0.123,28.7,56.9,0.99496,3.47,0.741,11.55,6
5.0,0.394,0.249,2.79,0.117,37.6,119.8,0.9981,3.36,0.3,9.49,5
6.05,0.43,0.2,0.5,0.092,31.1,104.8,0.99575,3.12,0.685,11.25,6
6.03,0.936,0.406,3.02,0.073,19.8,29.8,0.99776,3.12,0.688,8.92,4
8.45,0.75,0.253,4.72,0.094,35.1,134.7,0.99779,3.18,0.76,10.18,6
5.2,0.493,0.273,2.98,0.089,50.8,105.2,1.00071,3.23,0.702,10.64,5
6.37,0.612,0.308,1.27,0.091,37.0,96.8,0.99494,3.32,0.3,8.35,4
5.82,0.184,0.101,0.5,0.066,27.6,96.4,0.99566,3.47,0.881,10.91,6
7.64,0.1,0.185,0.66,0.03,19.4,50.5,0.99649,3.29,0.699,8.52,4
6.36,0.393,0.345,0.6,0.08,40.1,97.4,0.99488,3.31,0.474,11.15,5
6.82,0.535,0.426,1.91,0.095,24.3,51.7,0.99673,3.16,0.609,11.25,6
8.44,0.363,0.538,0.87,0.135,36.3,108.9,0.99782,3.33,0.482,9.23,4
8.22,0.644,0.316,0.5,0.089,60.3,141.6,0.99663,3.08,1.092,11.19,6
7.6,0.594,0.342,1.71,0.084,28.5,81.0,0.99612,3.32,0.768,9.6,4
7.24,0.541,0.0,0.91,0.09,47.2,92.1,0.99856,3.04,0.724,12.59,7
6.72,0.627,0.359,4.74,0.108,29.7,101.1,0.99713,3.29,0.652,10.22,6
8.23,0.6,0.093,3.01,0.068,14.4,65.6,0.99592,3.41,0.878,10.1,5
7.71,0.408,0.314,3.4,0.073,38.4,63.9,0.99448,3.29,0.558,8.86,5
5.81,0.673,0.372,0.94,0.125,43.8,114.2,0.99829,3.4,0.804,10.22,5
5.95,0.522,0.34,1.08,0.11,13.1,106.1,0.99482,3.52,0.584,12.45,7
7.52,0.729,0.42,0.5,0.082,53.0,78.6,0.99818,3.27,0.683,11.74,6
6.17,0.506,0.213,0.5,0.122,33.9,52.2,0.99488,3.21,0.503,10.93,6
7.47,0.744,0.073,0.52,0.091,36.4,100.2,0.99871,3.15,0.574,8.25,4
8.59,0.539,0.345,1.07,0.094,35.1,129.7,0.99914,3.17,0.723,11.24,6
8.36,0.253,0.293,0.5,0.074,31.0,74.5,0.99543,3.35,0.668,11.86,6
5.28,0.373,0.189,3.3,0.07,36.1,99.1,0.99832,3.1,0.432,9.81,5
5.74,0.61,0.275,5.9,0.11,35.2,71.5,0.99782,3.39,0.74,9.89,5
7.91,0.213,0.385,1.55,0.115,49.0,133.3,0.99907,3.04,0.71,9.65,5
7.32,0.402,0.525,1.52,0.039,39.6,65.0,0.99441,3.49,0.772,10.61,5
6.34,0.698,0.241,1.97,0.069,35.1,84.7,0.99895,3.4,0.597,9.91,5
5.29,0.607,0.203,1.55,0.087,33.5,44.6,0.99337,3.41,0.636,10.69,6
7.56,0.345,0.216,6.26,0.094,44.6,70.7,0.99486,3.49,0.552,11.07,6
7.11,0.831,0.337,0.92,0.037,48.4,100.8,0.99581,3.69,0.68,10.97,6
7.28,0.829,0.168,7.89,0.088,16.7,40.6,0.9945,3.34,0.62,9.14,5
7.85,0.435,0.325,1.49,0.073,7.9,63.8,1.00016,3.53,0.533,10.14,5
6.22,0.624,0.245,3.17,0.04,16.3,100.3,0.99408,3.12,0.94,12.13,6
9.24,0.446,0.274,0.88,0.094,1.0,51.9,0.99812,3.31,0.781,9.65,5
6.09,0.634,0.119,1.52,0.1,46.2,113.4,0.99653,3.19,0.684,10.69,6
7.49,0.571,0.26,0.89,0.063,36.6,125.8,0.99401,3.38,0.548,10.02,5
5.42,0.559,0.071,1.96,0.092,47.5,128.1,0.99668,3.24,0.408,11.82,6
6.78,0.248,0.341,6.61,0.095,32.4,94.5,0.99688,3.43,0.696,11.69,6
8.4,0.417,0.376,1.96,0.09,21.6,104.6,0.99864,3.27,0.626,10.63,5
6.2,0.444,0.608,7.34,0.095,33.1,83.9,0.99708,3.35,0.695,8.38,4
7.38,0.632,0.174,0.83,0.081,24.6,112.3,0.99554,3.11,0.72,10.3,5
6.39,0.457,0.428,2.73,0.085,31.3,79.9,0.99807,3.35,0.789,8.0,4
6.35,0.495,0.2,7.71,0.067,28.7,81.9,0.99393,3.35,0.38,11.65,6
6.82,0.549,0.345,1.17,0.092,31.4,91.9,0.99661,3.29,0.698,9.95,5
6.85,0.433,0.33,2.18,0.084,18.4,41.1,0.99728,3.21,0.656,11.23,6
6.05,0.298,0.542,3.64,0.116,26.6,84.3,0.99666,3.26,0.715,10.35,5
8.19,0.724,0.076,0.5,0.076,28.2,91.3,0.99271,3.42,0.584,9.76,5
9.74,0.474,0.081,0.5,0.133,44.7,110.1,0.99846,3.09,0.477,9.09,4
6.8,0.862,0.506,1.36,0.103,37.7,82.7,0.99583,3.39,0.583,10.77,5
6.86,0.479,0.408,0.9,0.101,26.2,92.2,0.99919,3.27,0.648,11.48,6
